Material,Country of Origin,Average kg Co2e per kg material,Emissions (CO2e)
Acrylic,Afghanistan,399297.2744777774,74115594488758.84
Acrylic,Albania,399297.2744777774,21095551927721.42
Acrylic,Algeria,399297.2744777775,1.0001369054042558e+16
Acrylic,American Samoa,399297.2744777774,75609764319785.17
Acrylic,Angola,399297.2744777774,757886443850329.8
Acrylic,Antarctica,399297.2744777774,0.0
Acrylic,Antigua and Barbuda,399297.2744777774,121364288763771.39
Acrylic,Argentina,399297.2744777775,2.28224697248023e+16
Acrylic,Armenia,399297.2744777774,835373472296503.9
Acrylic,Aruba,399297.2744777774,358007769649124.6
Acrylic,Australia,399297.2744777775,1.0098316528731493e+17
Acrylic,Austria,399297.2744777775,4790085447081948.0
Acrylic,Azerbaijan,399297.2744777775,4746781615568368.0
Acrylic,Bahamas,399297.2744777774,831960242907959.5
Acrylic,Bahrain,399297.2744777774,8219514681833529.0
Acrylic,Bangladesh,399297.2744777775,9799486039902966.0
Acrylic,Barbados,399297.2744777774,425790944193979.9
Acrylic,Belarus,399297.2744777775,6752417372540500.0
Acrylic,Belgium,399297.2744777775,7887431953759311.0
Acrylic,Belize,399297.2744777774,14466863323098.457
Acrylic,Benin,399297.2744777774,58254970355986.09
Acrylic,Bermuda,399297.2744777774,289624274843736.7
Acrylic,Bhutan,399297.2744777774,326314245337.6458
Acrylic,Bolivia,399297.2744777774,1600074291766164.5
Acrylic,Bosnia and Herzegovina,399297.2744777774,5141033039301138.0
Acrylic,Botswana,399297.2744777774,773730219468468.6
Acrylic,Brazil,399297.2744777775,2.0315135909561532e+16
Acrylic,British Virgin Islands,399297.2744777774,53642533284901.23
Acrylic,Brunei,399297.2744777774,1316302824822943.0
Acrylic,Bulgaria,399297.2744777775,7656155429030278.0
Acrylic,Burkina Faso,399297.2744777774,248659595921215.34
Acrylic,Burundi,399297.2744777774,10061793584681.145
Acrylic,Cambodia,399297.2744777774,749710866991500.0
Acrylic,Cameroon,399297.2744777774,574759106072669.9
Acrylic,Canada,399297.2744777775,6.7255672357615176e+16
Acrylic,Cayman Islands,399297.2744777774,248628270053791.12
Acrylic,Central African Republic,399297.2744777774,7338131339163.429
Acrylic,Chad,399297.2744777774,73808995892996.56
Acrylic,Chile,399297.2744777775,9485482045544008.0
Acrylic,China,399297.2744777775,1.2569574126248397e+18
Acrylic,Colombia,399297.2744777775,3877166464806355.5
Acrylic,Comoros,399297.2744777774,22322025290399.984
Acrylic,Congo,399297.2744777774,265763406576680.56
Acrylic,Cook Islands,399297.2744777774,12988042278212.572
Acrylic,Costa Rica,399297.2744777774,168133684987712.66
Acrylic,Croatia,399297.2744777775,1776005755896481.5
Acrylic,Cuba,399297.2744777774,7132025981552039.0
Acrylic,Cyprus,399297.2744777775,1147990030807948.0
Acrylic,Czechia,399297.2744777775,1.7311396099001168e+16
Acrylic,Democratic Republic of Congo,399297.2744777774,8895451464519.662
Acrylic,Denmark,399297.2744777775,6777377719674366.0
Acrylic,Djibouti,399297.2744777774,98231917681316.56
Acrylic,Dominica,399297.2744777774,26111142188434.29
Acrylic,Dominican Republic,399297.2744777774,5813588972285523.0
Acrylic,Ecuador,399297.2744777775,1755961663084094.8
Acrylic,Egypt,399297.2744777775,3.2368997466811772e+16
Acrylic,El Salvador,399297.2744777774,914746241982138.0
Acrylic,Equatorial Guinea,399297.2744777774,209270967899176.12
Acrylic,Eritrea,399297.2744777774,134169402982629.4
Acrylic,Estonia,399297.2744777775,2547820284825324.0
Acrylic,Ethiopia,399297.2744777774,27635342597675.246
Acrylic,Falkland Islands,399297.2744777774,6167631861750.858
Acrylic,Fiji,399297.2744777774,147137786872182.84
Acrylic,Finland,399297.2744777775,6928863971277143.0
Acrylic,France,399297.2744777775,1.4883646654572658e+16
Acrylic,French Guiana,399297.2744777774,110825277695814.34
Acrylic,French Polynesia,399297.2744777774,180872182067355.44
Acrylic,Gabon,399297.2744777774,357508229270960.25
Acrylic,Gambia,399297.2744777774,101582097275321.14
Acrylic,Georgia,399297.2744777774,597748420223582.1
Acrylic,Germany,399297.2744777775,2.001366070194043e+17
Acrylic,Ghana,399297.2744777774,1199173917036806.8
Acrylic,Gibraltar,399297.2744777774,71877221563159.11
Acrylic,Greece,399297.2744777775,1.4282539866517064e+16
Acrylic,Greenland,399297.2744777774,63046403262223.53
Acrylic,Grenada,399297.2744777774,81596981694777.14
Acrylic,Guadeloupe,399297.2744777774,615532661083446.8
Acrylic,Guam,399297.2744777774,775024158300703.2
Acrylic,Guatemala,399297.2744777774,1785268803197162.5
Acrylic,Guinea,399297.2744777774,261479078771478.8
Acrylic,Guinea-Bissau,399297.2744777774,14113522544955.432
Acrylic,Guyana,399297.2744777774,381612842443611.4
Acrylic,Haiti,399297.2744777774,241643164358296.06
Acrylic,Honduras,399297.2744777774,1509355382401286.5
Acrylic,Hong Kong,399297.2744777775,9003281065951596.0
Acrylic,Hungary,399297.2744777775,4765746851247744.0
Acrylic,Iceland,399297.2744777775,834270286867.9052
Acrylic,India,399297.2744777775,3.041069560515089e+17
Acrylic,Indonesia,399297.2744777775,4.9908090485115896e+16
Acrylic,Iran,399297.2744777775,5.824844757728638e+16
Acrylic,Iraq,399297.2744777775,1.0816831316416204e+16
Acrylic,Ireland,399297.2744777775,5775961363295284.0
Acrylic,Israel,399297.2744777775,1.4358692077712654e+16
Acrylic,Italy,399297.2744777775,8.665608905181403e+16
Acrylic,Jamaica,399297.2744777774,2078408365456899.2
Acrylic,Japan,399297.2744777775,3.06376774236385e+17
Acrylic,Jordan,399297.2744777774,5063289905269419.0
Acrylic,Kazakhstan,399297.2744777775,3.869196025192969e+16
Acrylic,Kenya,399297.2744777774,788183735026370.1
Acrylic,Kiribati,399297.2744777774,9506556653088.0
Acrylic,Kosovo,399297.2744777774,1906273919414798.8
Acrylic,Kuwait,399297.2744777775,1.1273031859336982e+16
Acrylic,Kyrgyzstan,399297.2744777774,912357551902815.8
Acrylic,Laos,399297.2744777774,1372502914075270.5
Acrylic,Latvia,399297.2744777775,499636435202835.25
Acrylic,Lebanon,399297.2744777774,5814592037348827.0
Acrylic,Lesotho,399297.2744777774,0.0
Acrylic,Liberia,399297.2744777774,119983699636566.84
Acrylic,Libya,399297.2744777774,1.0251230792404934e+16
Acrylic,Lithuania,399297.2744777775,544051059634175.1
Acrylic,Luxembourg,399297.2744777775,399944404096547.6
Acrylic,Madagascar,399297.2744777774,389462117098711.25
Acrylic,Malawi,399297.2744777774,67099984533261.73
Acrylic,Malaysia,399297.2744777775,3.2184234993130324e+16
Acrylic,Maldives,399297.2744777774,151542166316036.56
Acrylic,Mali,399297.2744777774,348897231985894.3
Acrylic,Malta,399297.2744777774,864326420593513.8
Acrylic,Martinique,399297.2744777774,624956682516973.8
Acrylic,Mauritania,399297.2744777774,224770365227326.34
Acrylic,Mauritius,399297.2744777774,915306557868083.4
Acrylic,Mexico,399297.2744777775,7.1125437477258856e+16
Acrylic,Moldova,399297.2744777774,2929811411197545.5
Acrylic,Mongolia,399297.2744777774,2535720282360598.5
Acrylic,Montenegro,399297.2744777774,518218595696899.06
Acrylic,Montserrat,399297.2744777774,8658694852141.713
Acrylic,Morocco,399297.2744777775,6022062033487460.0
Acrylic,Mozambique,399297.2744777774,350167824175029.3
Acrylic,Namibia,399297.2744777774,22463859799052.715
Acrylic,Nauru,399297.2744777774,12237722100384.0
Acrylic,Nepal,399297.2744777774,4547840661854.537
Acrylic,Netherlands,399297.2744777775,3.742657200889347e+16
Acrylic,Netherlands Antilles,399297.2744777774,427040677482171.1
Acrylic,New Caledonia,399297.2744777774,805011015590496.0
Acrylic,New Zealand,399297.2744777775,3315579307857966.0
Acrylic,Nicaragua,399297.2744777774,899246477911062.8
Acrylic,Niger,399297.2744777774,154681032553578.12
Acrylic,Nigeria,399297.2744777774,7352720589658155.0
Acrylic,Niue,399297.2744777774,1350576320091.429
Acrylic,North Korea,399297.2744777774,3893335847845377.0
Acrylic,North Macedonia,399297.2744777775,0.0
Acrylic,Norway,399297.2744777775,421606507802091.2
Acrylic,Oman,399297.2744777775,4420087694283419.0
Acrylic,Pakistan,399297.2744777775,1.6232310985012938e+16
Acrylic,Palestine,399297.2744777774,162007031900247.22
Acrylic,Panama,399297.2744777774,1228789237984357.5
Acrylic,Papua New Guinea,399297.2744777774,986077924568767.4
Acrylic,Paraguay,399297.2744777774,2093693424212.8374
Acrylic,Peru,399297.2744777775,3046340742492722.5
Acrylic,Philippines,399297.2744777775,1.4240671795399246e+16
Acrylic,Poland,399297.2744777775,8.37028509560756e+16
Acrylic,Portugal,399297.2744777775,8190450729348430.0
Acrylic,Puerto Rico,399297.2744777774,9408272212994234.0
Acrylic,Qatar,399297.2744777775,5640476156825105.0
Acrylic,Reunion,399297.2744777774,801859670843616.0
Acrylic,Romania,399297.2744777775,9491473563199176.0
Acrylic,Russia,399297.2744777775,2.8627236589561885e+17
Acrylic,Rwanda,399297.2744777774,68591384795397.12
Acrylic,Saint Helena,399297.2744777774,3383944002006.8584
Acrylic,Saint Kitts and Nevis,399297.2744777774,72105769089325.72
Acrylic,Saint Lucia,399297.2744777774,149417964873393.2
Acrylic,Saint Pierre and Miquelon,399297.2744777774,19643382255552.0
Acrylic,Saint Vincent and the Grenadines,399297.2744777774,46811943167398.3
Acrylic,Samoa,399297.2744777774,31573473083026.285
Acrylic,Sao Tome and Principe,399297.2744777774,21639233928576.0
Acrylic,Saudi Arabia,399297.2744777775,7.222980822385074e+16
Acrylic,Senegal,399297.2744777774,1170006517055738.2
Acrylic,Serbia,399297.2744777774,1.0778944428811074e+16
Acrylic,Seychelles,399297.2744777774,139229412197869.7
Acrylic,Sierra Leone,399297.2744777774,30958210537206.85
Acrylic,Singapore,399297.2744777775,9560283782830638.0
Acrylic,Slovakia,399297.2744777775,2190833760370243.0
Acrylic,Slovenia,399297.2744777775,2145316095380077.8
Acrylic,Solomon Islands,399297.2744777774,35422615595286.84
Acrylic,Somalia,399297.2744777774,134247286217087.95
Acrylic,South Africa,399297.2744777775,1.1521926558050314e+17
Acrylic,South Korea,399297.2744777775,1.0971744230059275e+17
Acrylic,South Sudan,399297.2744777774,87182252550506.33
Acrylic,Spain,399297.2744777775,5.6745768797473736e+16
Acrylic,Sri Lanka,399297.2744777775,1630792930300968.2
Acrylic,Sudan,399297.2744777774,1369327645336073.2
Acrylic,Suriname,399297.2744777774,380679144014321.56
Acrylic,Sweden,399297.2744777775,1343287224352679.0
Acrylic,Switzerland,399297.2744777775,223821259366440.72
Acrylic,Syria,399297.2744777774,1.0808766563757e+16
Acrylic,Taiwan,399297.2744777775,6.993429525782748e+16
Acrylic,Tajikistan,399297.2744777774,175352826839248.44
Acrylic,Tanzania,399297.2744777774,972972498834709.1
Acrylic,Thailand,399297.2744777775,4.232427907937624e+16
Acrylic,Togo,399297.2744777774,61461609650984.0
Acrylic,Tonga,399297.2744777774,21181538620100.574
Acrylic,Trinidad and Tobago,399297.2744777775,1706381230446622.2
Acrylic,Tunisia,399297.2744777774,5727665028508497.0
Acrylic,Turkey,399297.2744777775,4.950960816878048e+16
Acrylic,Turkmenistan,399297.2744777775,3788544528587779.5
Acrylic,Turks and Caicos Islands,399297.2744777774,75444693880662.83
Acrylic,Uganda,399297.2744777774,143785656445715.9
Acrylic,Ukraine,399297.2744777775,5.859046118175508e+16
Acrylic,United Arab Emirates,399297.2744777775,2.199987543827798e+16
Acrylic,United Kingdom,399297.2744777775,1.2216987155037298e+17
Acrylic,United States,399297.2744777775,1.368550473345788e+18
Acrylic,United States Virgin Islands,399297.2744777774,362182168455272.06
Acrylic,Uruguay,399297.2744777774,493712275105914.1
Acrylic,Uzbekistan,399297.2744777775,1.0934517790168044e+16
Acrylic,Vanuatu,399297.2744777774,22167244956573.652
Acrylic,Venezuela,399297.2744777775,7233275638434208.0
Acrylic,Vietnam,399297.2744777775,2.1003512053274052e+16
Acrylic,Western Sahara,399297.2744777774,19358260587977.145
Acrylic,Yemen,399297.2744777774,2184937205041839.0
Acrylic,Zambia,399297.2744777774,240377492653173.56
Acrylic,Zimbabwe,399297.2744777774,2065365747816775.0
Cotton,Afghanistan,399297.2744777774,74115594489493.33
Cotton,Albania,399297.2744777774,21095551923169.4
Cotton,Algeria,399297.2744777775,1.000136905414167e+16
Cotton,American Samoa,399297.2744777774,75609764303470.0
Cotton,Angola,399297.2744777774,757886443773201.9
Cotton,Antarctica,399297.2744777774,0.0
Cotton,Antigua and Barbuda,399297.2744777774,121364288737583.31
Cotton,Argentina,399297.2744777775,2.282246972405555e+16
Cotton,Armenia,399297.2744777774,835373472304782.2
Cotton,Aruba,399297.2744777774,358007769571873.3
Cotton,Australia,399297.2744777775,1.0098316528453291e+17
Cotton,Austria,399297.2744777775,4790085446869774.0
Cotton,Azerbaijan,399297.2744777775,4746781614865906.0
Cotton,Bahamas,399297.2744777774,831960242728438.2
Cotton,Bahrain,399297.2744777774,8219514681912437.0
Cotton,Bangladesh,399297.2744777775,9799486039449944.0
Cotton,Barbados,399297.2744777774,425790944102102.25
Cotton,Belarus,399297.2744777775,6752417372607415.0
Cotton,Belgium,399297.2744777775,7887431953539272.0
Cotton,Belize,399297.2744777774,14466863319976.785
Cotton,Benin,399297.2744777774,58254970351745.91
Cotton,Bermuda,399297.2744777774,289624274781241.3
Cotton,Bhutan,399297.2744777774,326314245267.23334
Cotton,Bolivia,399297.2744777774,1600074291782021.2
Cotton,Bosnia and Herzegovina,399297.2744777774,5141033039154948.0
Cotton,Botswana,399297.2744777774,773730219446467.1
Cotton,Brazil,399297.2744777775,2.0315135908279864e+16
Cotton,British Virgin Islands,399297.2744777774,53642533273326.18
Cotton,Brunei,399297.2744777774,1316302824835987.2
Cotton,Bulgaria,399297.2744777775,7656155428804396.0
Cotton,Burkina Faso,399297.2744777774,248659595867559.34
Cotton,Burundi,399297.2744777774,10061793582510.0
Cotton,Cambodia,399297.2744777774,749710866906988.8
Cotton,Cameroon,399297.2744777774,574759106048365.4
Cotton,Canada,399297.2744777775,6.725567235526174e+16
Cotton,Cayman Islands,399297.2744777774,248628270000141.9
Cotton,Central African Republic,399297.2744777774,7338131337580.0
Cotton,Chad,399297.2744777774,73808995877070.0
Cotton,Chile,399297.2744777775,9485482044915262.0
Cotton,China,399297.2744777775,1.25695741258427e+18
Cotton,Colombia,399297.2744777775,3877166464743063.0
Cotton,Comoros,399297.2744777774,22322025285583.316
Cotton,Congo,399297.2744777774,265763406567429.1
Cotton,Cook Islands,399297.2744777774,12988042275410.0
Cotton,Costa Rica,399297.2744777774,168133684951432.66
Cotton,Croatia,399297.2744777775,1776005755802951.2
Cotton,Cuba,399297.2744777774,7132025980165041.0
Cotton,Cyprus,399297.2744777775,1147990030560233.8
Cotton,Czechia,399297.2744777775,1.7311396098388954e+16
Cotton,Democratic Republic of Congo,399297.2744777774,8895451462784.137
Cotton,Denmark,399297.2744777775,6777377719431405.0
Cotton,Djibouti,399297.2744777774,98231917660120.0
Cotton,Dominica,399297.2744777774,26111142182800.0
Cotton,Dominican Republic,399297.2744777774,5813588971556372.0
Cotton,Ecuador,399297.2744777775,1755961662904972.2
Cotton,Egypt,399297.2744777775,3.2368997465392144e+16
Cotton,El Salvador,399297.2744777774,914746241784753.2
Cotton,Equatorial Guinea,399297.2744777774,209270967901249.9
Cotton,Eritrea,399297.2744777774,134169402953678.2
Cotton,Estonia,399297.2744777775,2547820284289799.5
